Title,Link,Snippet
High performance computing: fundamental research challenges in service oriented GIS,https://dl.acm.org/doi/10.1145/1869692.1869698,"Web service technology was successful in handling simple use cases of business transactions by using XML to define the application programming interface (API) in WSDL and the SOAP protocol for message exchange. However, such a technology has some ..."
Reproducibility in High Performance Computing,https://dl.acm.org/doi/10.1145/2807591.2897788,"Ensuring reliability and reproducibility in computational research raises unique challenges in the supercomputing context. Specialized architectures, extensive and customized software, and complex workflows all raise barriers to transparency, while ..."
ExaScale high performance computing in the square kilometer array,https://dl.acm.org/doi/10.1145/2286976.2286982,"Next generation radio telescopes will require tremendous amounts of compute power. With the current state of the art, the Square Kilometer Array (SKA), currently entering its pre-construction phase, will require in excess of one ExaFlop/s in order to ..."
Performance evaluation of Intel® transactional synchronization extensions for high-performance computing,https://dl.acm.org/doi/10.1145/2503210.2503232,"Intel has recently introduced Intel® Transactional Synchronization Extensions (Intel® TSX) in the Intel 4th Generation Core™ Processors. With Intel TSX, a processor can dynamically determine whether threads need to serialize through lock-protected ..."
Evaluating interconnect and virtualization performance for high performance computing,https://dl.acm.org/doi/10.1145/2088457.2088459,Scientists are increasingly considering cloud computing platforms to satisfy their computational needs. Previous work has shown that virtualized cloud environments can have significant performance impact. However there is still a limited understanding ...
Group communication patterns for high performance computing in scala,https://dl.acm.org/doi/10.1145/2636228.2636229,"We developed a Functional Object-Oriented Parallel framework (FooPar) for high-level high-performance computing in Scala. Central to this framework are Distributed Memory Parallel Data structures (DPDs), i.e., collections of data distributed in a shared ..."
Trusted high-performance computing in the classroom,https://dl.acm.org/doi/10.1109/EduHPC.2014.13,A well-designed high-performance computing (HPC) course not only presents theoretical parallelism concepts but also includes practical work on parallel systems. Today's machine models are diverse and as a consequence multiple programming models exist. ...
"Teaching high performance computing: lessons from a flipped classroom, project-based course on finite element methods",https://dl.acm.org/doi/10.1109/EduHPC.2014.10,"High Performance Computing (HPC) is an area that requires students to acquire knowledge in a wide range of topics. At the same time, HPC is not a theoretical subject and is best learned through non-trivial projects. Teaching HPC therefore lives with the ..."
Scalable high performance computing,https://dl.acm.org/doi/10.1145/197912.197946,
Energy based performance tuning for large scale high performance computing systems,https://dl.acm.org/doi/10.5555/2338816.2338822,"Recognition of the importance of power in the field of High Performance Computing, whether it be as an obstacle, expense or design consideration, has never been greater and more pervasive. In response to this challenge, we exploit the unique power ..."
Autotuning for high performance computing,https://dl.acm.org/doi/10.1145/2088256.2088264,"Program performance depends not only on the algorithms and data structures implemented in the program but also on coding parameters. These parameters include frequency and size of messages, shape of loop tiles, and minimum number of iterations required ..."
Introducing high performance computing concepts into engineering undergraduate curriculum: a success story,https://dl.acm.org/doi/10.1145/2831425.2831430,This paper discusses a successful story of introducing High Performance Computing (HPC) concepts in an engineering curriculum over a period of the last 6 academic years at various levels of the undergraduate program. The paper also elaborates about the ...
HPC '11: Proceedings of the 19th High Performance Computing Symposia,https://dl.acm.org/doi/proceedings/10.5555/2048577,This is the 19th special symposium devoted to the impact of high performance computing and communications on computer simulations. The symposium encompasses a wide variety of topics with a focus on tools and applications for the simulation of physical ...
Computational steering for high performance computing: applications on Blue Gene/Q system,https://dl.acm.org/doi/10.5555/2872599.2872624,"The traditional workflow in a high performance computing (HPC) simulation is to prepare the application's input, run the simulation, and visualize the simulation results in a post-processing step. By performing these steps simultaneously, significant ..."
Virtualizing high performance computing,https://dl.acm.org/doi/10.1145/1899928.1899946,"While virtualization is widely used in commercial enterprise environments, it has not to date played any significant role in High Performance Computing (HPC). However, with the rise of cloud computing and its promise of computing on demand, the HPC ..."
CSIR initiatives in high performance computing in India,https://dl.acm.org/doi/10.5555/2346696.2346719,"Council of Scientific and Industrial Research (CSIR) is a premier R&D organization in India whose geographical spread extends over the whole country while its scientific spread touches virtually all fields of science and technology including aerospace, ..."
Improving I/O performance for High Performance Computing with Application Forwarding Layer,https://dl.acm.org/doi/10.1145/3409501.3409511,"In the use of High Performance Computing platforms, I/O performance has become an important limiting factor. For regular users, after a supercomputer is put into use, I/O performance optimization based on the physical structure is usually difficult to ..."
High performance computing with spatial datasets,https://dl.acm.org/doi/10.1145/1869692.1869693,"The importance of geo-spatial data is growing with the increasing availability of large geo-spatial datasets such as maps, remote-sensing images, and the decennial census. Applications include geo-spatial intelligence, real-time situation assessment (..."
HPC '15: Proceedings of the Symposium on High Performance Computing,https://dl.acm.org/doi/proceedings/10.5555/2872599,"Advances in networking, high end computers, large data stores, special purpose hardware, parallel programming languages, and middleware capabilities are ushering in a new era of high performance parallel and distributed simulations. Along with these new ..."
HPC '17: Proceedings of the 25th High Performance Computing Symposium,https://dl.acm.org/doi/proceedings/10.5555/3108096,This is the 25th special symposium devoted to the impact of high performance computing and communications on computer simulations. The symposium encompasses a wide variety of topics with a focus on tools and applications for the simulation of physical ...
Toward High Performance Computing Education,https://dl.acm.org/doi/10.1145/3341525.3394989,High Performance Computing (HPC) is the ability to process data and perform complex calculations at extremely high speeds. Current HPC platforms can achieve calculations on the order of quadrillions of calculations per second with quintillions on the ...
Linux vs. lightweight multi-kernels for high performance computing: experiences at pre-exascale,https://dl.acm.org/doi/10.1145/3458817.3476162,The long standing consensus in the High-Performance Computing (HPC) Operating Systems (OS) community is that lightweight kernel (LWK) based OSes have the potential to outperform Linux at extreme scale. To explore if LWKs live up to their expectation we ...
Dynamic compilation for component-based high performance computing,https://dl.acm.org/doi/10.1145/1687774.1687778,"Component-based frameworks for high-performance computing (HPC) are being developed in response to the increasing complexity of HPC software. These frameworks promote the development of clear programming interfaces that allow easy code reuse, ..."
Biological data integration and high-performance computing,https://dl.acm.org/doi/10.1145/1375783.1375796,
Finite-state verification for high performance computing,https://dl.acm.org/doi/10.1145/1145319.1145340,A glance at the list of the world's most powerful computing systems (top500.org) reveals that high performance computing has become practically synonymous with parallel computing. Yet parallel programs are notoriously difficult to get right. It is hard ...
HPC-GPT: Integrating Large Language Model for High-Performance Computing,https://dl.acm.org/doi/10.1145/3624062.3624172,"Large Language Models (LLMs), including the LLaMA model, have exhibited their efficacy across various general-domain natural language processing (NLP) tasks. However, their performance in high-performance computing (HPC) domain tasks has been less than ..."
HPC '18: Proceedings of the High Performance Computing Symposium,https://dl.acm.org/doi/proceedings/10.5555/3213069,"SpringSim'18 covers state-of-the-art developments in M&S methodology, technology, performances and application in disciplines as diverse as applied computing, industrial systems, communications and networking, medicine and service systems."
High Performance Computing Co-Design Strategies,https://dl.acm.org/doi/10.1145/2818950.2818959,"The MEMSYS Call for Papers contains this passage: Many of the problems we see in the memory system are cross-disciplinary in nature -- their solution would likely require work at all levels, from applications to circuits. Thus, while the scope of the ..."
